A,B,OUT
-126,30,-3439
-126,31,-3439
-126,32,-4182
-126,33,-4182
-126,34,-4182
-126,35,-4182
-126,36,-4438
-126,37,-4438
-126,38,-4438
-126,39,-4438
-126,40,-5207
-126,41,-5207
-126,42,-5207
-126,43,-5207
-126,44,-5463
-126,45,-5463
-126,46,-5463
-126,47,-5463
-126,48,-6269
-126,49,-6269
-126,50,-6269
-126,51,-6269
-126,52,-6525
-126,53,-6525
-126,54,-6525
-126,55,-6525
-126,56,-7295
-126,57,-7295
-126,58,-7295
-126,59,-7295
-126,60,-7551
-126,61,-7551
-126,62,-7551
-126,63,-7551
-126,64,-8261
-126,65,-8261
-126,66,-8261
-126,67,-8261
-126,68,-8517
-126,69,-8517
-126,70,-8517
-126,71,-8517
-126,72,-9287
-126,73,-9287
-126,74,-9287
-126,75,-9287
-126,76,-9543
-126,77,-9543
-126,78,-9543
-126,79,-9543
-126,80,-10349
-126,81,-10349
-126,82,-10349
-126,83,-10349
-126,84,-10605
-126,85,-10605
-126,86,-10605
-126,87,-10605
-126,88,-11376
-126,89,-11376
-126,90,-11376
-126,91,-11376
-126,92,-11632
-126,93,-11632
-126,94,-11632
-126,95,-11632
-126,96,-12373
-126,97,-12373
-126,98,-12373
-126,99,-12373
-126,100,-12629
-126,101,-12629
-126,102,-12629
-126,103,-12629
-126,104,-13400
-126,105,-13400
-126,106,-13400
-126,107,-13400
-126,108,-13656
-126,109,-13656
-126,110,-13656
-126,111,-13656
-126,112,-14462
-126,113,-14462
-126,114,-14462
-126,115,-14462
-126,116,-14718
-126,117,-14718
-126,118,-14718
-126,119,-14718
-126,120,-15488
-126,121,-15488
-126,122,-15488
-126,123,-15488
-126,124,-15744
-126,125,-15744
-126,126,-15744
-126,127,-15744
-125,-128,15807
-125,-127,15807
-125,-126,15807
-125,-125,15807
-125,-124,15551
-125,-123,15551
-125,-122,15551
-125,-121,15551
-125,-120,14781
-125,-119,14781
-125,-118,14781
-125,-117,14781
-125,-116,14525
-125,-115,14525
-125,-114,14525
-125,-113,14525
-125,-112,13703
-125,-111,13703
-125,-110,13703
-125,-109,13703
-125,-108,13447
-125,-107,13447
-125,-106,13447
-125,-105,13447
-125,-104,12676
-125,-103,12676
-125,-102,12676
-125,-101,12676
-125,-100,12420
-125,-99,12420
-125,-98,12420
-125,-97,12420
-125,-96,11695
-125,-95,11695
-125,-94,11695
-125,-93,11695
-125,-92,11439
-125,-91,11439
-125,-90,11439
-125,-89,11439
-125,-88,10668
-125,-87,10668
-125,-86,10668
-125,-85,10668
-125,-84,10412
-125,-83,10412
-125,-82,10412
-125,-81,10412
-125,-80,9622
-125,-79,9622
-125,-78,9622
-125,-77,9622
-125,-76,9366
-125,-75,9366
-125,-74,9366
-125,-73,9366
-125,-72,8596
-125,-71,8596
-125,-70,8596
-125,-69,8596
-125,-68,8340
-125,-67,8340
-125,-66,8340
-125,-65,8340
-125,-64,7614
-125,-63,7614
-125,-62,7614
-125,-61,7614
-125,-60,7358
-125,-59,7358
-125,-58,7358
-125,-57,7358
-125,-56,6588
-125,-55,6588
-125,-54,6588
-125,-53,6588
-125,-52,6332
-125,-51,6332
-125,-50,6332
-125,-49,6332
-125,-48,5510
-125,-47,5510
