 isweep, gm, id, cgg, cgs, cgd, cds, css, cdd, gds, vth, vdsat, vgs, vds, rds, wt, ft, gm_id
7.5e-08,1.79107407e-06,7.5000308e-08,4.78333984e-16, 7.50000000e-08,7.5e-08,7.5e-08, 7.50000000e-08 -3.88163818e-19,9.43779657e-08,0.769461647,0.0435380191,0.544730626,0.544730605,10595693.5,3744400630.0,595939870.0,23.8808895,
8e-08,1.90502817e-06,8.00001393e-08,4.80555578e-16, 8.00000000e-08,8e-08,8e-08, 8.00000000e-08 -3.89775091e-19,1.00240356e-07,0.76946125,0.0435685546,0.547301517,0.547301493,9976022.03,3964220280.0,630925253.0,23.8128106,
8.5e-08,2.01852535e-06,8.50000124e-08,4.82664842e-16, 8.50000000e-08,8.5e-08,8.5e-08, 8.50000000e-08 -3.91230177e-19,1.0607718e-07,0.769460876,0.0435989818,0.549723467,0.549723442,9427098.28,4182043470.0,665592891.0,23.7473536,
9e-08,2.13158319e-06,8.99999123e-08,4.8467334e-16, 9.00000000e-08,9e-08,9e-08, 9.00000000e-08 -3.92549005e-19,1.11889884e-07,0.769460522,0.0436293065,0.552013284,0.552013258,8937358.49,4397979040.0,699960103.0,23.6842808,
9.5e-08,2.24421788e-06,9.49998341e-08,4.86590896e-16, 9.50000000e-08,9.5e-08,9.5e-08, 9.50000000e-08 -3.93748111e-19,1.17679759e-07,0.769460187,0.0436595338,0.554185073,0.554185045,8497638.05,4612124680.0,734042442.0,23.6233874,
1e-07,2.35643685e-06,9.99994425e-08,4.884258080000001e-16, 1.00000000e-07,1e-07,1e-07, 1.00000000e-07 -3.94841281e-19,1.23447579e-07,0.769459868,0.0436896662,0.556250646,0.556250617,8100604.41,4824554350.0,767851673.0,23.5644999,
1.5e-07,3.47039543e-06,1.50532183e-07,5.03606244e-16, 1.50000000e-07,1.5e-07,1.5e-07, 1.50000000e-07 -4.01919098e-19,1.80720295e-07,0.769457294,0.0439897702,0.572923252,0.572923208,5533412.85,6891088970.0,1096750870.0,23.0541759,
2e-07,4.55640441e-06,2.01202234e-07,5.14955939e-16, 2.00000000e-07,2e-07,2e-07, 2.00000000e-07 -4.05022601e-19,2.36678561e-07,0.769455432,0.0442841568,0.584991464,0.584991406,4225139.77,8848144220.0,1408225890.0,22.6458937,
2.5e-07,5.58920675e-06,2.50519372e-07,5.238443e-16, 2.50000000e-07,2.5e-07,2.5e-07, 2.50000000e-07 -4.06209917e-19,2.90061043e-07,0.769454002,0.044565742,0.594262303,0.594262231,3447550.18,10669595400.0,1698118860.0,22.3104773,
3e-07,6.60855979e-06,3.00173368e-07,5.31373479e-16, 3.00000000e-07,3e-07,3e-07, 3.00000000e-07 -4.06389135e-19,3.42922775e-07,0.769452807,0.0448451163,0.602018226,0.602018139,2916108.45,12436751300.0,1979370440.0,22.0158098,
3.5e-07,7.61533329e-06,3.5009764e-07,5.37917265e-16, 3.50000000e-07,3.5e-07,3.5e-07, 3.50000000e-07 -4.05943443e-19,3.95304701e-07,0.769451777,0.0451223629,0.608701504,0.608701402,2529694.18,14157071700.0,2253167940.0,21.7520269,
4e-07,8.60673878e-06,4.000632e-07,5.43691873e-16, 4.00000000e-07,4e-07,4e-07, 4.00000000e-07 -4.05093774e-19,4.47051529e-07,0.769450874,0.0453965651,0.614564008,0.614563892,2236878.6,15830177400.0,2519450980.0,21.5134478,
4.5e-07,9.58375664e-06,4.50041164e-07,5.48862887e-16, 4.50000000e-07,4.5e-07,4.5e-07, 4.50000000e-07 -4.03974826e-19,4.98201644e-07,0.769450069,0.0456678565,0.619791903,0.619791772,2007219.39,17461112500.0,2779022370.0,21.295289,
5e-07,1.05475896e-05,5.0002798e-07,5.53548501e-16, 5.00000000e-07,5e-07,5e-07, 5.00000000e-07 -4.02671955e-19,5.488052e-07,0.769449342,0.0459364506,0.624515583,0.624515438,1822140.17,19054499500.0,3032617780.0,21.0939988,
5.5e-07,1.14992204e-05,5.50019788e-07,5.57834685e-16, 5.50000000e-07,5.5e-07,5.5e-07, 5.50000000e-07 -4.01241714e-19,5.98901619e-07,0.769448678,0.046202517,0.628828545,0.628828386,1669723.32,20614029100.0,3280824620.0,20.9069213,
6e-07,1.24395019e-05,6.00014421e-07,5.61786163e-16, 6.00000000e-07,6e-07,6e-07, 6.00000000e-07 -3.99722828e-19,6.48524479e-07,0.769448067,0.0464662026,0.632800303,0.632800129,1541961.84,22142770300.0,3524131340.0,20.7320049,
6.5e-07,1.33691799e-05,6.50010765e-07,5.65452919e-16, 6.50000000e-07,6.5e-07,6.5e-07, 6.50000000e-07 -3.98142521e-19,6.97702716e-07,0.769447501,0.0467276365,0.636483967,0.636483778,1433275.2,23643312200.0,3762950000.0,20.5676284,
7e-07,1.42889076e-05,7.00008192e-07,5.68874374e-16, 7.00000000e-07,7e-07,7e-07, 7.00000000e-07 -3.96520359e-19,7.46461355e-07,0.769446972,0.0469869315,0.639921024,0.639920821,1339654.08,25117861300.0,3997631780.0,20.4124863,
7.5e-07,1.5199261e-05,7.50006331e-07,5.72082181e-16, 7.50000000e-07,7.5e-07,7.5e-07, 7.50000000e-07 -3.94870647e-19,7.94822216e-07,0.769446477,0.0472441872,0.643144514,0.643144296,1258142.99,26568317500.0,4228479050.0,20.2655103,
8e-07,1.61007507e-05,8.00004952e-07,5.75102152e-16, 8.00000000e-07,8e-07,8e-07, 8.00000000e-07 -3.93204000e-19,8.42804482e-07,0.769446011,0.0474994921,0.646181177,0.646180945,1186514.81,27996331900.0,4455754610.0,20.1258139,
8.5e-07,1.69938328e-05,8.5000391e-07,5.77955626e-16, 8.50000000e-07,8.5e-07,8.5e-07, 8.50000000e-07 -3.91528377e-19,8.90425164e-07,0.76944557,0.0477529253,0.64905297,0.649052723,1123059.01,29403352300.0,4679688850.0,19.9926526,
9e-07,1.78789167e-05,9.00003107e-07,5.80660446e-16, 9.00000000e-07,9e-07,9e-07, 9.00000000e-07 -3.89849806e-19,9.37699453e-07,0.769445151,0.048004558,0.651778145,0.651777884,1066439.78,30790657000.0,4900485270.0,19.8653944,
9.5e-07,1.87563718e-05,9.5000248e-07,5.83231698e-16, 9.50000000e-07,9.5e-07,9.5e-07, 9.50000000e-07 -3.88172876e-19,9.84641017e-07,0.769444753,0.048254455,0.654372046,0.654371771,1015598.56,32159383400.0,5118324830.0,19.7434977,
1e-06,1.96264909e-05,9.99999525e-07,5.856821280000001e-16, 1.00000000e-06,1e-06,1e-06, 1.00000000e-06 -3.86501182e-19,1.03125994e-06,0.769444374,0.0485026629,0.656847576,0.656847286,969687.62,33510482800.0,5333358980.0,19.6265002,
1.5e-06,2.8049101e-05,1.50405836e-06,6.05547352e-16, 1.50000000e-06,1.5e-06,1.5e-06, 1.50000000e-06 -3.70309471e-19,1.48549638e-06,0.769441272,0.0509217014,0.677104015,0.67710358,673175.657,46320243800.0,7372095770.0,18.6489445,
2e-06,3.59696657e-05,2.00869478e-06,6.199788590000001e-16, 2.00000000e-06,2e-06,2e-06, 2.00000000e-06 -3.55605189e-19,1.91623966e-06,0.769438978,0.0532151015,0.692133764,0.692133184,521855.393,58017568100.0,9233782750.0,17.9069842,
2.5e-06,4.33502041e-05,2.50358475e-06,6.31127978e-16, 2.50000000e-06,2.5e-06,2.5e-06, 2.50000000e-06 -3.42544582e-19,2.31962827e-06,0.769437171,0.0553614049,0.704005387,0.704004662,431103.557,68686868100.0,10931854600.0,17.3152533,
3e-06,5.04528053e-05,3.00126596e-06,6.40395454e-16, 3.00000000e-06,3e-06,3e-06, 3.00000000e-06 -3.30551366e-19,2.70907246e-06,0.769435641,0.0574317824,0.714090778,0.714089908,369130.03,78783827900.0,12538835700.0,16.8105079,
3.5e-06,5.73039271e-05,3.50070812e-06,6.48316306e-16, 3.50000000e-06,3.5e-06,3.5e-06, 3.50000000e-06 -3.19475315e-19,3.08556852e-06,0.769434309,0.0594315267,0.722895957,0.722894942,324089.384,88388841300.0,14067521000.0,16.3692388,
4e-06,6.39149319e-05,4.00044248e-06,6.5521537e-16, 4.00000000e-06,4e-06,4e-06, 4.00000000e-06 -3.09201986e-19,3.44948612e-06,0.769433127,0.0613626965,0.730724688,0.730723528,289898.253,97547974100.0,15525242300.0,15.9769656,
4.5e-06,7.03083781e-05,4.50028398e-06,6.61323174e-16, 4.50000000e-06,4.5e-06,4.5e-06, 4.50000000e-06 -2.99615522e-19,3.8019285e-06,0.769432063,0.0632312802,0.737794415,0.73779311,263024.41,106314705000.0,16920510800.0,15.6230981,
5e-06,7.6503576e-05,5.00019105e-06,6.66800963e-16, 5.00000000e-06,5e-06,5e-06, 5.00000000e-06 -2.90621380e-19,4.14389119e-06,0.769431093,0.0650426963,0.744257408,0.744255958,241319.078,114732252000.0,18260205000.0,15.3001306,
5.5e-06,8.25162927e-05,5.50013382e-06,6.71765157e-16, 5.50000000e-06,5.5e-06,5.5e-06, 5.50000000e-06 -2.82143429e-19,4.47621643e-06,0.769430199,0.0668015432,0.750223675,0.75022208,223402.96,122835029000.0,19549802100.0,15.0025973,
6e-06,8.83597678e-05,6.00009677e-06,6.76302656e-16, 6.00000000e-06,6e-06,6e-06, 6.00000000e-06 -2.74119482e-19,4.79963168e-06,0.769429369,0.0685117997,0.755775452,0.755773712,208349.321,130651221000.0,20793787600.0,14.7263905,
6.5e-06,9.4045286e-05,6.50007183e-06,6.80480039e-16, 6.50000000e-06,6.5e-06,6.5e-06, 6.50000000e-06 -2.66498174e-19,5.11477067e-06,0.769428594,0.0701769362,0.76097587,0.760973985,195512.187,138204327000.0,21995901800.0,14.4683457,
7e-06,9.95825921e-05,7.00005448e-06,6.84349439e-16, 7.00000000e-06,7e-06,7e-06, 7.00000000e-06 -2.59236621e-19,5.42218974e-06,0.769427865,0.0718000019,0.765874469,0.765872439,184427.334,145514245000.0,23159311400.0,14.2259739,
7.5e-06,0.000104980202,7.50004208e-06,6.879524370000001e-16, 7.50000000e-06,7.5e-06,7.5e-06, 7.50000000e-06 -2.52298654e-19,5.72238106e-06,0.769427177,0.0733836961,0.770510864,0.770508689,174752.431,152598053000.0,24286734400.0,13.9972818,
8e-06,0.00011024564,8.00003302e-06,6.91322734e-16, 8.00000000e-06,8e-06,8e-06, 8.00000000e-06 -2.45653481e-19,6.01578308e-06,0.769426524,0.0749304241,0.774917245,0.774914925,166229.398,159470584000.0,25380531800.0,13.7806481,
8.5e-06,0.000115385614,8.50002624e-06,6.94488022e-16, 8.50000000e-06,8.5e-06,8.5e-06, 8.50000000e-06 -2.39274667e-19,6.30278882e-06,0.769425903,0.0764423426,0.779120138,0.779117673,158659.925,166144858000.0,26442775400.0,13.5747362,
9e-06,0.000120406155,9.0000211e-06,6.97471335e-16, 9.00000000e-06,9e-06,9e-06, 9.00000000e-06 -2.33139335e-19,6.58375258e-06,0.76942531,0.0779213962,0.783141667,0.783139057,151889.062,172632406000.0,27475300700.0,13.3784303,
9.5e-06,0.000125312725,9.50001713e-06,7.00292035e-16, 9.50000000e-06,9.5e-06,9.5e-06, 9.50000000e-06 -2.27227553e-19,6.85899536e-06,0.769424742,0.0793693465,0.787000489,0.786997734,145793.946,178943524000.0,28479746400.0,13.1907893,
1e-05,0.000130110233,1.00000067e-05,7.02966517e-16, 1.00000000e-05,1e-05,1e-05, 1.00000000e-05 -2.21521920e-19,7.12880541e-06,0.769424196,0.0807877765,0.790712429,0.790709529,140275.957,185087383000.0,29457571900.0,13.0110146,
1.5e-05,0.000173092612,1.50187502e-05,7.24087747e-16, 1.50000000e-05,1.5e-05,1.5e-05, 1.50000000e-05 -1.72942835e-19,9.58635388e-06,0.769419619,0.0936657899,0.822150554,0.822146204,104314.947,239049221000.0,38045865200.0,11.5251009,
2e-05,0.000208588608,2.00323701e-05,7.38896367e-16, 2.00000000e-05,2e-05,2e-05, 2.00000000e-05 -1.35004981e-19,1.16949515e-05,0.769416054,0.104658476,0.847038853,0.847033053,85506.9817,282297514000.0,44929044900.0,10.4125776,
2.5e-05,0.000238330425,2.50106443e-05,7.50174951e-16, 2.50000000e-05,2.5e-05,2.5e-05, 2.50000000e-05 -1.03855659e-19,1.35430527e-05,0.769413077,0.114254003,0.868120749,0.868113499,73838.5965,317699791000.0,50563492100.0,9.52915972,
3e-05,0.00026386632,3.00036578e-05,7.59308626e-16, 3.00000000e-05,3e-05,3e-05, 3.00000000e-05 -7.71486695e-20,1.52088447e-05,0.769410452,0.122875705,0.886921889,0.886913189,65751.2136,347508656000.0,55307720400.0,8.79447173,
3.5e-05,0.000285983715,3.50017575e-05,7.66936877e-16, 3.50000000e-05,3.5e-05,3.5e-05, 3.50000000e-05 -5.38026112e-20,1.67262734e-05,0.769408077,0.130711232,0.904097719,0.904087569,59786.1806,372890812000.0,59347416000.0,8.17055299,
4e-05,0.000305299625,4.00009191e-05,7.73452587e-16, 4.00000000e-05,4e-05,4e-05, 4.00000000e-05 -3.31012836e-20,1.81207238e-05,0.76940589,0.13790065,0.920061035,0.920049435,55185.4336,394723129000.0,62822137100.0,7.63231525,
4.5e-05,0.000322300912,4.50005102e-05,7.79114248e-16, 4.50000000e-05,4.5e-05,4.5e-05, 4.50000000e-05 -1.45435956e-20,1.94116838e-05,0.769403846,0.144551297,0.935090205,0.935077155,51515.3661,413676060000.0,65838589700.0,7.16216128,
5e-05,0.000337369832,5.00002994e-05,7.84099271e-16, 5.00000000e-05,5e-05,5e-05, 5.00000000e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,
5.5e-05,0.000350810724,5.50001835e-05,7.88534737e-16, 5.50000000e-05,5.5e-05,5.5e-05, 5.50000000e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.5e-05,
6e-05,0.000362868937,6.00001163e-05,7.925149060000001e-16, 6.00000000e-05,6e-05,6e-05, 6.00000000e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,
6.5e-05,0.000373744355,6.50000754e-05,7.961117220000001e-16, 6.50000000e-05,6.5e-05,6.5e-05, 6.50000000e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,6.5e-05,
7e-05,0.000383601309,7.00000495e-05,7.99381424e-16, 7.00000000e-05,7e-05,7e-05, 7.00000000e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,
7.5e-05,0.000392575963,7.50000323e-05,8.02368872e-16, 7.50000000e-05,7.5e-05,7.5e-05, 7.50000000e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,
8e-05,0.000400781934,8.00000204e-05,8.05110464e-16, 8.00000000e-05,8e-05,8e-05, 8.00000000e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,8e-05,
8.5e-05,0.000408314618,8.50000117e-05,8.07636179e-16, 8.50000000e-05,8.5e-05,8.5e-05, 8.50000000e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,8.5e-05,
9e-05,0.000415254567,9.0000005e-05,8.09971022e-16, 9.00000000e-05,9e-05,9e-05, 9.00000000e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,
9.5e-05,0.000421670161,9.49999995e-05,8.12136084e-16, 9.50000000e-05,9.5e-05,9.5e-05, 9.50000000e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,9.5e-05,
