,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
4627,512.0,2.0,512.0,14.0,8.0,64,4,2048,1024,3.767658,43.27858760023221,4.4928,230251793.3056,3,4.072,245.5795677799607,-1.286,226.24017521777782,341.1115485866667,2.9315923314332717,1532.545965490176,3.4672346776179586e-07,79.83370023328987
4628,512.0,2.0,512.0,14.0,8.0,4,32,4096,2048,3.767658,43.27858760023221,1.336,216895763.8144,4,10.224,97.80907668231612,-6.762,1045.5416832,878.93901312,1.1377353662460217,1174.26252152832,1.2277404132773962e-06,266.29169470360796
4629,512.0,2.0,512.0,14.0,8.0,8,16,4096,2048,3.767658,43.27858760023221,1.4544,217709684.4288,4,5.967,167.58840288252054,-2.281,612.1070592,512.9723289599999,1.9494228899781008,746.0669552394238,4.5667284993790167e-07,99.42210204718131
4630,512.0,2.0,512.0,14.0,8.0,8,32,2048,1024,3.767658,43.27858760023221,1.776,219687601.408,4,5.879,170.0969552645008,-2.188,313.52659967999995,492.4839867733333,2.0305228735492915,874.65156050944,2.742265296713304e-07,60.24416854593432
4631,512.0,2.0,512.0,14.0,8.0,16,8,4096,2048,3.767658,43.27858760023221,1.696,219234626.9696,4,4.13,242.13075060532688,-0.347,426.29529600000006,355.0487210666667,2.816514863074897,602.1626309290666,2.566990969920452e-07,56.2773307724842
4632,512.0,2.0,512.0,14.0,8.0,16,16,2048,1024,3.767658,43.27858760023221,2.016,221248118.0672,4,3.87,258.39793281653743,-0.074,207.6196864,324.19000320000004,3.0846108458905124,653.5670464512,1.3569338522557238e-07,30.021906115325493
4633,512.0,2.0,512.0,14.0,8.0,32,4,4096,2048,3.767658,43.27858760023221,2.1376,222223933.952,4,4.091,244.4390124663896,-0.307,427.4829539555555,351.6959607466667,2.8433650414322473,751.7852856920747,3.213753946679693e-07,71.41730447849274
4634,512.0,2.0,512.0,14.0,8.0,32,8,2048,1024,3.767658,43.27858760023221,2.496,224403704.5248,4,3.779,264.6202699126753,0.022,205.14548394666667,316.56693077333335,3.1588896463604876,790.1510592102401,1.62095921432656e-07,36.37492525784893
4635,512.0,2.0,512.0,14.0,8.0,64,4,2048,1024,3.767658,43.27858760023221,3.3792,230251793.3056,4,4.072,245.5795677799607,-0.286,226.24017521777782,341.1115485866667,2.9315923314332717,1152.6841449840642,2.6078346293194905e-07,60.04586000452573
4636,512.0,2.0,512.0,14.0,8.0,4,32,4096,2048,3.767658,43.27858760023221,1.072,216895763.8144,5,10.414,96.02458229306703,-5.962,1064.9717418666664,895.2729736533333,1.116977759218295,959.7326277563735,1.022088128307978e-06,221.68658527498937
4637,512.0,2.0,512.0,14.0,8.0,8,16,4096,2048,3.767658,43.27858760023221,1.1696,217709684.4288,5,6.157,162.41676140977748,-1.481,631.5976476444445,529.3062894933333,1.8892652890205173,619.0766361914026,3.9100734713012545e-07,85.12608615304187
