Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1025,30,4,4.096,-0.311,-0.311,3584,1536,4,3.785,40,0.5,False,0.0311,2914329.0776,19306,1827,17479,0.0194,3.72e-06,2.38e-08,0.0194,2.93e-05,5.97e-05,3.61e-08,8.9e-05,19521,20007,2298,2784,19306,2914329.0776,0,0,0,24
1026,31,5,4.096,0.689,0.689,3584,1536,4,4.785,40,0.5,False,0.0249,2914329.0776,19306,1827,17479,0.0155,2.98e-06,2.38e-08,0.0155,2.35e-05,4.77e-05,3.61e-08,7.12e-05,19521,20007,2298,2784,19306,2914329.0776,0,0,0,24
1027,32,6,4.096,1.689,1.689,3584,1536,4,5.785,40,0.5,False,0.0208,2914329.0776,19306,1827,17479,0.0129,2.48e-06,2.38e-08,0.0129,1.96e-05,3.98e-05,3.61e-08,5.94e-05,19521,20007,2298,2784,19306,2914329.0776,0,0,0,25
1028,33,3,4.016,-1.228,-1.228,3584,1536,8,2.7880000000000003,40,0.5,False,0.0642,5737486.9648,25122,2372,22750,0.0334,6.48e-06,3e-08,0.0334,4.61e-05,9.66e-05,4.39e-08,0.000143,25551,26229,3196,3874,25122,5737486.9648,0,0,0,29
1029,34,4,4.016,-0.228,-0.228,3584,1536,8,3.788,40,0.5,False,0.0483,5737486.9648,25122,2372,22750,0.025,4.86e-06,3e-08,0.025,3.46e-05,7.24e-05,4.39e-08,0.000107,25551,26229,3196,3874,25122,5737486.9648,0,0,0,31
103,35,6,4.065,1.721,1.721,2048,128,8,5.7860000000000005,40,0.5,False,0.024,2564283.6192,24149,2444,21705,0.0172,3.26e-06,3.11e-08,0.0172,2.19e-05,4.46e-05,4.14e-08,6.65e-05,24268,24946,2947,3625,24149,2564283.6192,0,0,0,29
1030,36,5,4.038,0.749,0.749,3584,1536,8,4.787,40,0.5,False,0.0388,5737486.9648,25122,2372,22750,0.02,3.89e-06,3e-08,0.02,2.77e-05,5.79e-05,4.39e-08,8.56e-05,25551,26229,3196,3874,25122,5737486.9648,0,0,0,31
1031,37,6,4.228,1.549,1.549,3584,1536,8,5.776999999999999,40,0.5,False,0.0325,5737486.9648,25122,2372,22750,0.0167,3.24e-06,3e-08,0.0167,2.3e-05,4.83e-05,4.39e-08,7.14e-05,25551,26229,3196,3874,25122,5737486.9648,0,0,0,31
1032,38,3,5.394,-2.678,-2.678,3584,1536,16,2.716,40,0.5,False,0.108,11377334.0352,35658,3345,32313,0.0469,9.13e-06,4.08e-08,0.0469,5.81e-05,0.000124,5.88e-08,0.000182,36515,37577,4870,5932,35658,11377334.0352,0,0,0,42
1033,39,4,5.453,-1.74,-1.74,3584,1536,16,3.713,40,0.5,False,0.0817,11377334.0352,35658,3345,32313,0.0351,6.85e-06,4.08e-08,0.0351,4.35e-05,9.29e-05,5.88e-08,0.000136,36515,37577,4870,5932,35658,11377334.0352,0,0,0,43
