A,B,OUT
-126,46,-5826
-126,47,-5954
-126,48,-6018
-126,49,-6146
-126,50,-6274
-126,51,-6402
-126,52,-6530
-126,53,-6658
-126,54,-6786
-126,55,-6914
-126,56,-7042
-126,57,-7170
-126,58,-7298
-126,59,-7426
-126,60,-7554
-126,61,-7682
-126,62,-7810
-126,63,-7938
-126,64,-8074
-126,65,-8202
-126,66,-8330
-126,67,-8458
-126,68,-8586
-126,69,-8714
-126,70,-8842
-126,71,-8970
-126,72,-9098
-126,73,-9226
-126,74,-9354
-126,75,-9482
-126,76,-9610
-126,77,-9738
-126,78,-9866
-126,79,-9994
-126,80,-10058
-126,81,-10186
-126,82,-10314
-126,83,-10442
-126,84,-10570
-126,85,-10698
-126,86,-10826
-126,87,-10954
-126,88,-11082
-126,89,-11210
-126,90,-11338
-126,91,-11466
-126,92,-11594
-126,93,-11722
-126,94,-11850
-126,95,-11978
-126,96,-12098
-126,97,-12226
-126,98,-12354
-126,99,-12482
-126,100,-12610
-126,101,-12738
-126,102,-12866
-126,103,-12994
-126,104,-13122
-126,105,-13250
-126,106,-13378
-126,107,-13506
-126,108,-13634
-126,109,-13762
-126,110,-13890
-126,111,-14018
-126,112,-14082
-126,113,-14210
-126,114,-14338
-126,115,-14466
-126,116,-14594
-126,117,-14722
-126,118,-14850
-126,119,-14978
-126,120,-15106
-126,121,-15234
-126,122,-15362
-126,123,-15490
-126,124,-15618
-126,125,-15746
-126,126,-15874
-126,127,-16002
-125,-128,15990
-125,-127,15862
-125,-126,15734
-125,-125,15606
-125,-124,15478
-125,-123,15350
-125,-122,15222
-125,-121,15094
-125,-120,14966
-125,-119,14838
-125,-118,14710
-125,-117,14582
-125,-116,14454
-125,-115,14326
-125,-114,14198
-125,-113,14070
-125,-112,14006
-125,-111,13878
-125,-110,13750
-125,-109,13622
-125,-108,13494
-125,-107,13366
-125,-106,13238
-125,-105,13110
-125,-104,12982
-125,-103,12854
-125,-102,12726
-125,-101,12598
-125,-100,12470
-125,-99,12342
-125,-98,12214
-125,-97,12086
-125,-96,12030
-125,-95,11902
-125,-94,11774
-125,-93,11646
-125,-92,11518
-125,-91,11390
-125,-90,11262
-125,-89,11134
-125,-88,11006
-125,-87,10878
-125,-86,10750
-125,-85,10622
-125,-84,10494
-125,-83,10366
-125,-82,10238
-125,-81,10110
-125,-80,10046
-125,-79,9918
-125,-78,9790
-125,-77,9662
-125,-76,9534
-125,-75,9406
-125,-74,9278
-125,-73,9150
-125,-72,9022
-125,-71,8894
-125,-70,8766
-125,-69,8638
-125,-68,8510
-125,-67,8382
-125,-66,8254
-125,-65,8126
-125,-64,7990
-125,-63,7862
-125,-62,7734
-125,-61,7606
-125,-60,7478
-125,-59,7350
-125,-58,7222
-125,-57,7094
-125,-56,6966
-125,-55,6838
-125,-54,6710
-125,-53,6582
-125,-52,6454
-125,-51,6326
-125,-50,6198
-125,-49,6070
-125,-48,6006
-125,-47,5878
-125,-46,5750
-125,-45,5622
-125,-44,5494
-125,-43,5366
-125,-42,5238
-125,-41,5110
-125,-40,4982
-125,-39,4854
-125,-38,4726
-125,-37,4598
-125,-36,4470
-125,-35,4342
-125,-34,4214
-125,-33,4086
-125,-32,4030
-125,-31,3902
-125,-30,3774
-125,-29,3646
-125,-28,3518
-125,-27,3390
-125,-26,3262
-125,-25,3134
-125,-24,3006
-125,-23,2878
-125,-22,2750
-125,-21,2622
-125,-20,2494
-125,-19,2366
-125,-18,2238
-125,-17,2110
-125,-16,2046
-125,-15,1918
-125,-14,1790
-125,-13,1662
-125,-12,1534
-125,-11,1406
-125,-10,1278
-125,-9,1150
-125,-8,1022
-125,-7,894
-125,-6,766
-125,-5,638
-125,-4,510
-125,-3,382
-125,-2,254
-125,-1,126
-125,0,-10
-125,1,-138
-125,2,-266
-125,3,-394
-125,4,-522
-125,5,-650
-125,6,-778
-125,7,-906
-125,8,-1034
-125,9,-1162
-125,10,-1290
-125,11,-1418
-125,12,-1546
