block_size,mlp_expansion_factor,n_embd,n_head,n_layer,num_params,best_val_loss
512,4,512,8,23,98369536.0,3.684753
512,4,512,8,24,102000000.0,3.687835
512,4,768,4,8,95626752.0,3.674854
512,4,768,4,9,103000000.0,4.19108
512,4,768,6,8,95626752.0,3.65610981
512,4,768,6,9,102706176.0,3.645448208
512,4,768,8,8,95626752.0,3.635166
512,4,768,8,9,103000000.0,3.629064
512,4,768,12,8,95626752.0,3.608664036
512,4,768,12,9,102706176.0,3.574773312
512,4,1024,4,4,102000000.0,5.611882
512,6,384,4,32,95017728.0,3.690337
512,6,384,4,33,97377792.0,3.715503
512,6,384,4,34,99737856.0,3.684277
512,6,384,4,35,102000000.0,3.74314
512,6,384,6,32,95017728.0,3.735394955
512,6,384,6,33,97377792.0,3.762997389
512,6,384,6,34,99737856.0,3.700433016
512,6,384,6,35,102097920.0,3.702069044
512,6,384,6,36,104457984.0,3.737004757
512,6,384,8,32,95017728.0,3.691514
512,6,384,8,33,97377792.0,3.667665
512,6,384,8,34,99737856.0,3.714802
512,6,384,8,35,102000000.0,3.715761
512,6,384,12,32,95017728.0,3.674017429
512,6,384,12,33,97377792.0,3.725191355
512,6,384,12,34,99737856.0,3.690535069
512,6,384,12,35,102097920.0,3.656151772
512,6,384,12,36,104457984.0,3.671326876
512,6,512,4,17,97314816.0,3.665545
512,6,512,4,18,102000000.0,3.679724
512,6,512,8,17,97314816.0,3.663703
512,6,512,8,18,102000000.0,3.666347
512,6,768,4,6,95623680.0,5.703871
512,6,768,6,6,95623680.0,5.11743927
512,6,768,8,6,95623680.0,3.663227
512,6,768,12,6,95623680.0,3.630936623
512,6,1024,4,3,102000000.0,5.475239
512,6,1024,8,3,102000000.0,3.696486
512,8,384,4,26,96192768.0,3.728277
512,8,384,4,27,99142656.0,3.689235
512,8,384,4,28,102000000.0,3.73533
512,8,384,6,26,96192768.0,3.68304348
512,8,384,6,27,99142656.0,3.645911217
512,8,384,6,28,102092544.0,3.705548048
512,8,384,8,26,96192768.0,3.673426
512,8,384,8,27,99142656.0,3.700849
512,8,384,8,28,102000000.0,3.726397
512,8,384,12,26,96192768.0,3.652487278
512,8,384,12,27,99142656.0,3.661053419
512,8,384,12,28,102092544.0,3.678637028
512,8,512,4,14,99408896.0,3.707344
512,8,512,8,14,99408896.0,3.702123
512,8,768,4,5,97981440.0,3.784445
512,8,768,6,5,97981440.0,3.677711725
512,8,768,8,5,97981440.0,3.652029
512,8,768,12,5,97981440.0,3.612055302
1024,2,512,4,33,95496192.0,3.539699
1024,2,512,4,34,97594368.0,3.520251
1024,2,512,4,35,99692544.0,3.529871
1024,2,512,4,36,102000000.0,3.468861
1024,2,512,8,33,95496192.0,3.509869
1024,2,512,8,34,97594368.0,3.485905
1024,2,512,8,35,99692544.0,3.519356
1024,2,768,4,12,96026112.0,3.455889
1024,2,768,4,13,101000000.0,3.527689
1024,2,768,6,12,96026112.0,3.444694519
1024,2,768,6,13,100746240.0,3.495997429
1024,2,768,8,12,96026112.0,3.42904
1024,2,768,8,13,101000000.0,3.488456
1024,2,768,12,12,96026112.0,3.458969831
1024,2,768,12,13,100746240.0,3.49497962
1024,2,1024,4,5,94466048.0,5.796352
1024,2,1024,8,5,94466048.0,3.656021
1024,2,1536,4,1,97646592.0,4.021069
1024,2,1536,6,1,97646592.0,4.017210007
1024,2,1536,8,1,97646592.0,4.022491
1024,2,1536,12,1,97646592.0,4.036345005
1024,4,512,4,22,95484928.0,3.545579
1024,4,512,4,23,98631680.0,3.496877
1024,4,512,4,24,102000000.0,3.460695
1024,4,512,8,22,95484928.0,3.487081
1024,4,512,8,23,98631680.0,3.466884
1024,4,768,4,8,96019968.0,3.476841
1024,4,768,4,9,103000000.0,3.478705
1024,4,768,6,8,96019968.0,3.445477247
1024,4,768,6,9,103099392.0,3.459754705
1024,4,768,8,8,96019968.0,3.434334
1024,4,768,8,9,103000000.0,3.451169
1024,4,768,12,8,96019968.0,3.443030596
1024,4,768,12,9,103099392.0,3.444247246
1024,6,384,4,32,95214336.0,3.620079
1024,6,384,4,33,97574400.0,3.508057
1024,6,384,4,34,99934464.0,3.588208
1024,6,384,4,35,102000000.0,3.524763
1024,6,384,6,32,95214336.0,3.594216824
1024,6,384,6,33,97574400.0,3.526881218
1024,6,384,6,34,99934464.0,3.547287941
1024,6,384,6,35,102294528.0,3.508382797
1024,6,384,8,32,95214336.0,3.572889
1024,6,384,8,33,97574400.0,3.54186
1024,6,384,8,34,99934464.0,3.53268
1024,6,384,12,32,95214336.0,3.489578485
1024,6,384,12,33,97574400.0,3.487548828
1024,6,384,12,34,99934464.0,3.483220816
1024,6,384,12,35,102294528.0,3.557550669
1024,6,512,4,17,97576960.0,3.527844
1024,6,512,4,18,102000000.0,3.491366
1024,6,512,8,17,97576960.0,3.48743
1024,6,768,4,6,96016896.0,3.471903
1024,6,768,6,6,96016896.0,3.456399918
1024,6,768,8,6,96016896.0,3.47543
1024,6,768,12,6,96016896.0,3.494336605
1024,6,1024,4,3,103000000.0,3.540783
1024,6,1024,8,3,103000000.0,3.504403
1024,8,384,4,26,96389376.0,3.57407
1024,8,384,4,27,99339264.0,3.539793
1024,8,384,4,28,102000000.0,3.568542
1024,8,384,6,26,96389376.0,3.601969719
1024,8,384,6,27,99339264.0,3.552277803
1024,8,384,6,28,102289152.0,3.535523653
1024,8,384,8,26,96389376.0,3.612489
1024,8,384,8,27,99339264.0,3.500097
1024,8,384,12,26,96389376.0,3.53464818
1024,8,384,12,27,99339264.0,3.492486477
1024,8,384,12,28,102289152.0,3.497533798
1024,8,512,4,14,99671040.0,3.547714
1024,8,512,8,14,99671040.0,3.53134
1024,8,768,4,5,98374656.0,3.476228
1024,8,768,6,5,98374656.0,3.456124544
1024,8,768,8,5,98374656.0,3.471152
1024,8,768,12,5,98374656.0,3.461932898
1024,8,1024,4,2,94459904.0,3.60069
1024,8,1024,8,2,94459904.0,3.567296
256,6,384,2,32,94919424.0,4.068704
256,6,384,16,32,94919424.0,3.937401
512,6,384,2,32,95017728.0,3.778097
512,6,384,16,32,95017728.0,3.665168
256,4,512,2,22,95091712.0,4.274662
256,4,512,16,22,95091712.0,3.845817
256,2,512,2,33,95102976.0,4.048613
256,2,512,16,33,95102976.0,3.8687
512,4,512,16,22,95222784.0,3.681823
512,2,512,2,33,95234048.0,3.818588
512,2,512,16,33,95234048.0,3.633371
1024,8,1024,2,2,94459904.0,3.730357
1024,8,1024,16,2,94459904.0,3.582684
1024,2,1024,2,5,94466048.0,3.908157
1024,2,1024,16,5,94466048.0,3.510072
1024,6,384,2,32,95214336.0,3.61111
1024,6,384,16,32,95214336.0,3.510804
256,6,768,2,6,95427072.0,5.642092
256,6,768,16,6,95427072.0,3.849094
256,4,768,2,8,95430144.0,5.698452
256,4,768,16,8,95430144.0,3.846652
256,2,768,2,12,95436288.0,3.976313
256,2,768,16,12,95436288.0,3.844133
1024,4,512,2,22,95484928.0,3.572592
1024,4,512,16,22,95484928.0,3.51532
512,6,768,2,6,95623680.0,5.562956
512,6,768,16,6,95623680.0,3.611841
512,4,768,2,8,95626752.0,4.338023
512,4,768,16,8,95626752.0,3.609685
1024,2,512,2,33,95496192.0,3.625879
1024,2,512,16,33,95496192.0,3.492349
512,2,768,2,12,95632896.0,5.679098
512,2,768,16,12,95632896.0,3.647078
256,8,384,2,26,96094464.0,4.109758
256,8,384,16,26,96094464.0,3.905368
512,8,384,2,26,96192768.0,3.745747
512,8,384,16,26,96192768.0,3.687347
1024,8,384,2,26,96389376.0,3.664595
1024,8,384,16,26,96389376.0,3.561992
1024,6,768,2,6,96016896.0,3.589122
1024,6,768,16,6,96016896.0,3.503983
1024,4,768,2,8,96019968.0,3.576694
1024,4,768,16,8,96019968.0,3.460866
1024,2,768,2,12,96026112.0,3.54317
1024,2,768,16,12,96026112.0,3.479096
256,2,1536,2,1,96466944.0,5.476336
256,2,1536,16,1,96466944.0,4.608863
256,6,512,2,17,97183744.0,3.963905
256,6,512,16,17,97183744.0,3.879269
256,2,512,2,34,97201152.0,3.934901
256,2,512,16,34,97201152.0,3.869029
256,6,384,2,33,97279488.0,3.929917
256,6,384,16,33,97279488.0,3.880781
512,6,384,2,33,97377792.0,3.827777
512,6,384,16,33,97377792.0,3.69196
512,6,512,2,17,97314816.0,3.690503
512,6,512,16,17,97314816.0,3.663759
512,2,512,2,34,97332224.0,3.727916
512,2,512,16,34,97332224.0,3.661623
512,2,1536,2,1,96860160.0,4.328032
512,2,1536,16,1,96860160.0,4.129347
1024,6,384,2,33,97574400.0,3.626204
1024,6,384,16,33,97574400.0,3.572588
256,8,768,2,5,97784832.0,4.184704
256,8,768,16,5,97784832.0,3.848384
1024,6,512,2,17,97576960.0,3.578231
1024,6,512,16,17,97576960.0,3.458421
1024,2,512,2,34,97594368.0,3.749524
1024,2,512,16,34,97594368.0,3.451797
256,4,512,2,23,98238464.0,4.055523
256,4,512,16,23,98238464.0,3.878456
512,8,768,2,5,97981440.0,5.366939
512,8,768,16,5,97981440.0,3.615194
512,4,512,2,23,98369536.0,3.705856
512,4,512,16,23,98369536.0,3.626481
256,8,384,2,27,99044352.0,3.940913
256,8,384,16,27,99044352.0,3.918529
1024,4,512,2,23,98631680.0,3.540069
1024,4,512,16,23,98631680.0,3.479331
1024,8,768,2,5,98374656.0,3.592923
1024,8,768,16,5,98374656.0,3.454717
1024,2,1536,2,1,97646592.0,4.118748
1024,2,1536,16,1,97646592.0,4.001627
512,8,384,2,27,99142656.0,3.780412
512,8,384,16,27,99142656.0,3.666106
256,8,512,2,14,99277824.0,4.206666
256,8,512,16,14,99277824.0,3.843992
256,2,512,2,35,99299328.0,3.928065
256,2,512,16,35,99299328.0,3.86437
512,8,512,2,14,99408896.0,3.767658
512,8,512,16,14,99408896.0,3.63187
512,2,512,2,35,99430400.0,3.680488
512,2,512,16,35,99430400.0,3.661695
1024,8,384,2,27,99339264.0,3.595132
1024,8,384,16,27,99339264.0,3.53909
256,6,384,2,34,99639552.0,4.08918
256,6,384,16,34,99639552.0,3.914549
512,6,384,2,34,99737856.0,3.741922
512,6,384,16,34,99737856.0,3.65409
1024,8,512,2,14,99671040.0,3.571487
1024,8,512,16,14,99671040.0,3.540785
1024,2,512,2,35,99692544.0,3.727142
1024,2,512,16,35,99692544.0,3.469582
1024,6,384,2,34,99934464.0,3.634457
1024,6,384,16,34,99934464.0,3.499172
256,2,768,16,13,100000000.0,3.846131
512,2,768,16,13,100000000.0,3.619969
256,6,512,2,18,101000000.0,5.69223
256,6,512,16,18,101000000.0,3.854138
256,4,512,2,24,101000000.0,3.898519
256,4,512,16,24,101000000.0,3.856243
256,2,512,2,36,101000000.0,4.188583
256,2,512,16,36,101000000.0,3.88621
1024,2,768,2,13,101000000.0,5.896188
1024,2,768,16,13,101000000.0,3.470403
512,6,512,2,18,102000000.0,3.730452
512,6,512,16,18,102000000.0,3.650394
512,4,512,2,24,102000000.0,3.805254
512,4,512,16,24,102000000.0,3.670624
512,2,512,2,36,102000000.0,3.788395
512,2,512,16,36,102000000.0,3.634595
256,8,384,2,28,102000000.0,4.018406
256,8,384,16,28,102000000.0,3.890275
256,6,384,2,35,102000000.0,3.899218
256,6,384,16,35,102000000.0,3.892004
512,8,384,2,28,102000000.0,3.780712
512,8,384,16,28,102000000.0,3.656374
512,6,384,2,35,102000000.0,3.736707
512,6,384,16,35,102000000.0,3.67551
1024,6,512,2,18,102000000.0,3.625404
1024,6,512,16,18,102000000.0,3.45512
1024,4,512,2,24,102000000.0,3.675108
1024,4,512,16,24,102000000.0,3.478803
1024,2,512,2,36,102000000.0,3.608896
1024,2,512,16,36,102000000.0,3.456511
256,6,1024,2,3,102000000.0,4.97007
256,6,1024,16,3,102000000.0,4.00356

